id,val_niveltensao,idh
JAGUARA-345,345,0.774
JAGUARA-500,500,0.774
JAGUARARI-SE,230,0.691
JAGUARIAIVA,230,0.769
JAGUARUANA II,500,0.734
JAIBA,500,0.774
JANAUBA 3,500,0.774
JANAUBA 6,500,0.774
JANDAIRA II,500,0.728
JANDIRA,440,0.806
JARAGUA DO SUL,230,0.792
JARDIM,500,0.702
JARDIM BOTANICO,230,0.771
JARU,230,0.7
JATAI,230,0.737
JAURU,500,0.736
JBO LT GRA2,230,0.771
JBO LT PA10,230,0.771
JECEABA,345,0.774
JEREMOABO,500,0.691
JI-PARANA,230,0.7
JOAIRAM,230,0.719
JOAO CAMARA 2,230,0.728
JOAO NEIVA 2,500,0.771
JOAO PESSOA II,500,0.698
JOINV.NORTE,230,0.792
JOINVILLE,230,0.792
JOINVILLE SUL,500,0.792
JORG.TEIXEIRA,230,0.7
JUAZEIRO II,230,0.691
JUAZEIRO III,500,0.691
JUBA,230,0.736
JUINA,230,0.736
JUIZ DE FORA1,345,0.774
JUPIA,440,0.806
JURUMIRIM,230,0.806
JURUPARI,500,0.69
JURUTI,230,0.69
KLABIN CELULOSE,230,0.769
L.C.BARRETO,345,0.806
L.D.RIO VERDE,230,0.736
L.GRANDE,230,0.771
L.VERMELHA 2,230,0.771
LAFAIETE 1,345,0.774
LAGES,230,0.792
LAGOA DO CARRO,230,0.719
LAGOA NOVA II,230,0.728
LAGOS,500,0.762
LAJEADO 2,230,0.771
LAJEADO III,230,0.771
LARANJAL,230,0.688
LECHUGA,500,0.7
LEOPOLDINA2,345,0.774
LESTE,345,0.806
LINHARES,230,0.771
LIVRAMENTO 2,230,0.771
LIVRAMENTO 3,230,0.771
LONDRINA COT,230,0.769
LONDRINA ESU,500,0.769
LONDRINA SUL,230,0.769
LORENA,500,0.806
LUZIANIA,500,0.737
M. FORNASARO,345,0.806
M. MORAES,345,0.774
MACAE MERCHAN,345,0.762
MACAMBARA,230,0.771
MACAMBARA 3,230,0.771
MACAPA,230,0.688
MACAPA III,230,0.688
MACEIO,230,0.684
MACEIO II,230,0.684
MACHADINHO,500,0.792
MANAUS,230,0.7
MANOE.NOBREGA,230,0.806
MARABA,500,0.69
MARACANAU II,230,0.734
MARANGATU,230,0.69
MARECH.RONDON,440,0.742
MARIMBONDO,500,0.774
MARIMBONDO II,500,0.774
MARINGA,230,0.769
MARITUBA,500,0.69
MARMELEIRO 2,500,0.771
MASCARENHAS,230,0.771
MATA NORTE,230,0.719
MATATU,230,0.691
MAUA III,230,0.7
MAURITI II,230,0.734
MEDEIROS NETOII,500,0.691
MEDIANEIRA NT,230,0.769
MESQUITA,500,0.774
MESSIAS,500,0.684
MIGUEL REALE,345,0.806
MILAGRES,500,0.734
MILAGRES II,500,0.734
MIRACEMA,500,0.731
MIRAMAR,230,0.69
MIRANDA II,500,0.676
MIRASSOL II,440,0.806
MIRUEIRA,230,0.719
MIRUEIRA II,230,0.719
MISSOES,230,0.771
MOGI,230,0.806
MOGI CRUZES,345,0.806
MOGI MIRIM 3,440,0.806
MONTE ALEGRE2,345,0.774
MONTE CLARO,230,0.771
MONTE VERDE,500,0.728
MONTESCLAROS2,345,0.774
MORRO AGUDO,500,0.806
MORRO CHAPEU II,500,0.691
MOSSORO II,230,0.728
MOSSORO IV,230,0.728
