nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
P.AFONSO III,ITABAIANA,230,163,2.96,15.23,28.9,631,631,795,795
P.AFONSO III,SANTANA II,230,107.13,1.983,10.733,17.71,437,437,621,516
P.AFONSO III,TACARATU,230,51,0.87,4.5,8.18,631,631,795,631
P.AFONSO III,ZEBU,230,6,0.1,0.52,0.98,631,631,795,795
P.AFONSO III,ZEBU,230,6,0.1,0.52,0.98,631,631,795,795
PITUACU,NARANDIBA,230,5.7,0.033,0.244,0.88,1262,1262,1590,1590
PITUACU,NARANDIBA,230,5.7,0.033,0.244,0.88,1262,1262,1590,1590
POCOES II,POCOES III,230,0.98,0.0058,0.0595,0.226,1660,1660,2020,2020
POCOES II,POCOES III,230,0.98,0.0058,0.0595,0.226,1660,1660,2020,2020
RIO DAS EGUAS,RIO FORMOSO II,230,99,0.7721,6.4535,25.13,1400,1400,1750,1750
RIO DAS EGUAS,RIO FORMOSO II,230,99,0.7721,6.4535,25.13,1400,1400,1750,1750
RIO DAS EGUAS,RIO GRANDE II,230,143.245,2.185,13.322,25.56,720,720,1000,1000
SAPEACU,FUNIL,230,195.7,3.53,19.03,33.08,631,631,795,631
SAPEACU,STO.A.JESUS,230,31.8,0.59,2.99,5.6,880,880,880,880
SAPEACU,STO.A.JESUS,230,29.4,0.59,2.99,5.6,800,800,800,800
STO.A.JESUS,FUNIL,230,161.9,2.97,15.21,28.76,631,631,795,795
STO.A.JESUS,FUNIL,230,163,2.97,15.21,28.76,631,631,795,795
TOMBA,G.MANGABEIRA,230,37.5,0.8067,3.5232,8.688,631,631,795,795
TOMBA,G.MANGABEIRA,230,37.5,0.804,3.5103,8.654,631,631,795,795
U.SOBRADINHO,JUAZEIRO II,230,42.5,0.78,4,7.5,879,879,879,879
U.SOBRADINHO,JUAZEIRO II,230,42.5,0.78,4,7.5,879,879,879,879
ABAIARA,BOM NOME,230,82.2,1.0669,4.982,25.55,1003,1003,1003,1003
ABAIARA,MILAGRES,230,15.09,0.2006,1.1268,2.9,1003,1003,1003,1003
ACARAU II,ACARAU III,230,1.149,0.0076,0.0753,0.2928,1570,1570,1995,1995
ACARAU II,ACARAU III,230,1.149,0.0076,0.0753,0.2928,1570,1570,1995,1995
ACARAU II,SOBRAL III,230,97,1.36,10.07,16.12,630,630,800,800
ALEX,MOSSORO II,230,68.9,1.381,6.816,17.997,631,631,795,795
AQUIRAZ II,BANABUIU,230,182,3.485,17.804,30.99,598,598,753,598
AQUIRAZ II,BANABUIU,230,182,3.03713,14.29349,39.506,770,770,770,770
AQUIRAZ II,BANABUIU,230,184,3.021,14.223,39.28,770,770,770,770
AQUIRAZ II,FORTALEZA,230,31,0.587,2.975,5.387,770,770,770,770
AQUIRAZ II,FORTALEZA,230,31,0.552,2.693,6.047,770,770,770,770
AQUIRAZ II,FORTALEZA,230,32,0.552,2.692,6.045,770,770,770,770
BANABUIU,ALEX,230,109.3,2.111,10.449,27.703,631,631,795,795
BANABUIU,ICO,230,124.8,2.04,8.7,30.34,810,810,810,810
BANABUIU,MOSSORO II,230,177.2,3.21,16.54,31.34,631,631,795,795
BANABUIU,RUSSAS II,230,110.4,2.361,10.717,28.73,437,437,621,437
BANABUIU,RUSSAS II,230,111.74,1.196,7.223,28.83,1270,1270,1510,1510
CAUIPE,FORTALEZA II,230,58.8,1.08,5.73,9.98,598,598,753,753
CAUIPE,FORTALEZA II,230,56,0.53,3.72,14.68,1196,1196,1507,1507
CAUIPE,MARACANAU II,230,39.6,0.382,2.651,9.81,1196,1196,1507,1507
CAUIPE,SOBRAL II,230,177.5,3.28,17.57,30.6,598,598,753,753
CRATO II,MILAGRES,230,68.8,1.395,6.945,12.95,730,730,730,730
CRATO II,TAUA II,230,199.12,3.709,19.343,34.77,730,730,730,730
DELM. GOUVEIA,FORTALEZA II,230,7.1,0.07,0.5,1.74,503,503,790,790
DELM. GOUVEIA,FORTALEZA II,230,7.1,0.07,0.5,1.74,503,503,790,790
FORTALEZA,FORTALEZA II,230,0.35,0.002,0.0174,0.06,1610,1200,1884,1200
FORTALEZA,FORTALEZA II,230,0.35,0.0025,0.0179,0.08,1610,1200,1884,1200
