nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
PARAISO,ACU II,230,133.45,2.486,12.58,23.22,750,750,895,895
PARAISO,NATAL II,230,97.1,1.8,9.18,17.26,631,631,795,795
PARAISO,NATAL II,230,97.05,1.8,9.17,17.26,631,631,795,795
SIMPLICE,LAGOA NOVA II,230,35.1,0.663,3.3252,6.151,0,0,0,0
ABUNA,RIO BRANCO I,230,302,2.305,16.894,89.93,1240,1200,1562,1200
ABUNA,RIO BRANCO I,230,305,2.206,17.055,85.4,1500,1500,2050,2050
ABUNA,TUCUMA,230,332.31,2.409,18.609,94.4,1750,1750,1400,1400
ARIQUEMES,JARU,230,83.82,1.336,7.871,14.68,620,620,781,781
ARIQUEMES,JI-PARANA,230,164,2.482,14.86,29.85,620,620,781,781
ARIQUEMES,JI-PARANA,230,164,1.26,9.42,47.64,1400,1400,1750,1750
ARIQUEMES,JI-PARANA,230,165,1.268,9.505,47.31,1400,1400,1750,1750
C.PORTO VELHO,PORTO VELHO,230,22.16,0.154,1.316,6.1,1130,1130,1910,1910
C.PORTO VELHO,PORTO VELHO,230,22.16,0.154,1.316,6.1,1130,1130,1910,1910
JARU,JI-PARANA,230,80.69,1.295,7.628,14.23,620,620,781,781
JI-PARANA,PIMENTA BUENO,230,117.8,0.937,6.718,33.8,1240,1200,1562,1200
JI-PARANA,PIMENTA BUENO,230,118,0.897,6.79,33.62,1240,1240,1562,1562
JI-PARANA,PIMENTA BUENO,230,119,0.915,6.819,34.3,1400,1400,1750,1750
PIMENTA BUENO,VILHENA,230,160.2,1.267,9.113,46.07,1240,1200,1562,1200
PIMENTA BUENO,VILHENA,230,160,1.204,9.164,45.66,1240,1240,1562,1562
PIMENTA BUENO,VILHENA,230,161,1.23,9.196,46.48,1400,1400,1750,1750
PORTO VELHO,ABUNA,230,188,1.505,10.778,54.13,1240,1200,1562,1200
PORTO VELHO,ABUNA,230,188,1.43,10.713,54.35,1400,1400,1750,1750
PORTO VELHO,ABUNA,230,188,1.425,10.931,53.1,1500,1500,2050,2050
SAMUEL,ARIQUEMES,230,155,2.43,14.317,26.71,620,620,781,781
SAMUEL,ARIQUEMES,230,155,2.333,13.96,27.84,620,620,781,781
SAMUEL,ARIQUEMES,230,155,1.187,8.875,44.44,1400,1400,1750,1750
SAMUEL,ARIQUEMES,230,150,1.194,8.936,44.26,1400,1400,1750,1750
SAMUEL,PORTO VELHO,230,40.55,0.551,3.821,7.337,691,691,871,871
SAMUEL,PORTO VELHO,230,40.55,0.551,3.821,7.337,691,691,871,871
SAMUEL,PORTO VELHO,230,42,0.328,2.437,12.09,1400,1400,1750,1750
VILHENA,JAURU,230,354,2.53,19.116,100.3,1240,1240,1562,1562
VILHENA,JAURU,230,354,2.53,19.116,100.3,1240,1240,1562,1562
VILHENA,JAURU,230,346,2.492,19.13,101.2,1400,1400,1750,1750
ALEGRETE2,LIVRAMENTO 2,230,128.29,2.45,12.23,21.93,679,679,856,856
ALEGRETE2,LIVRAMENTO 3,230,125,0.946,8.188,30.1,1380,1380,1700,1700
ALEGRETE2,MACAMBARA,230,82.83,1.582,7.889,14.16,679,679,856,856
ALEGRETE2,S.VICENTE SUL,230,104.02,1.551,9.624,18.47,729,729,919,919
ALEGRETE2,U.URUGUAIANA,230,129.73,1.244,6.005,45.67,1350,1350,1350,1350
ALEGRETE2,URUGUAIANA5,230,127.13,2.43,12.15,22.74,679,679,856,856
ATLANTIDA 2,GRAVATAI3,230,102,1.951,9.566,18.2,652,652,802,802
ATLANTIDA 2,OSORIO 2,230,36,0.682,3.29,6.514,652,652,802,802
ATLANTIDA 2,TORRES 2,230,65.44,0.731,5.831,12.2,790,790,1190,1190
BAGE2,CANDIOTA 2,230,49.68,0.947,4.558,8.9,695,695,870,870
BAGE2,CANDIOTA 2,230,51,0.869,4.735,9.1,729,729,919,919
BAGE2,LIVRAMENTO 2,230,151.34,2.89,14.44,25.88,679,679,856,856
C.INDUSTRIAL,CANOAS 1,230,13.66,0.235,1.235,2.519,679,679,856,856
C.INDUSTRIAL,CANOAS 2,230,9.48,0.11,0.63,1.442,729,729,919,919
C.INDUSTRIAL,CHARQUEADAS3,230,53.88,0.874,4.534,21,527,527,748,748
C.INDUSTRIAL,GRAVATAI2,230,12.5,0.199,1.157,2.31,729,729,919,919
C.INDUSTRIAL,GRAVATAI2,230,12.5,0.199,1.157,2.31,729,729,919,919
C.INDUSTRIAL,GUAIBA 2,230,38.5,0.742,3.692,6.63,679,679,856,856
C.INDUSTRIAL,NOVA STA RITA,230,22.5,0.398,2.086,4.068,729,729,919,919
C.INDUSTRIAL,NOVA STA RITA,230,22.4,0.397,2.143,3.925,729,729,919,919
C.INDUSTRIAL,NOVA STA RITA,230,23.7,0.418,2.268,3.97,564,564,801,801
C.INDUSTRIAL,P.PETROQUIMIC,230,23.57,0.402,2.158,4.11,729,729,919,919
C.INDUSTRIAL,PORTO ALEGRE9,230,14.8,0.257,1.357,2.71,679,679,856,856
C.INDUSTRIAL,V.AIRES,230,101.54,2.58,9.83,17.06,450,450,639,639
CACHOEIRINHA3,C.INDUSTRIAL,230,7.74,0.132,0.706,1.4,729,729,919,919
CACHOEIRINHA3,CANOAS 2,230,6.43,0.099,0.522,1.1,729,729,919,919
CACHOEIRINHA3,GRAVATAI2,230,5.04,0.087,0.455,0.9,729,729,919,919
CACHOEIRINHA3,GRAVATAI2,230,5.32,0.087,0.455,0.9,729,729,919,919
CAMAQUA,GUAIBA 2,230,87.25,1.729,8.578,15.32,679,679,856,856
CAMAQUA 3,GUAIBA 2,230,87.25,1.737,8.292,15.2,679,679,856,856
CAMAQUA 3,NOVA STA RITA,230,126,1.185,8.278,30.03,1380,1380,1740,1740
CAMAQUA 3,PELOTAS3,230,123.5,2.459,11.738,21.52,679,679,856,856
CAMAQUA 3,POVO NOVO,230,149,1.436,10.03,36.38,1380,1380,1740,1740
CAMPO BOM,CAXIAS,230,61.39,1.26,5.9,10.26,879,879,879,879
CAMPO BOM,CAXIAS,230,61.39,1.26,5.9,10.26,879,879,879,879
CAMPO BOM,GRAVATAI2,230,21.4,0.473,2.23,3.97,527,527,748,748
CAMPO BOM,GRAVATAI2,230,22.37,0.473,2.232,3.97,527,527,748,748
CAMPO BOM,TAQUARA,230,29,0.522,2.803,5.066,590,590,895,895
CANDELARIA 2,ITAUBA,230,65.89,1.141,6.187,11.62,917,917,1073,1073
CANDELARIA 2,NOVA STA RITA,230,156.77,2.679,14.749,27.89,917,917,1073,1073
CANDIOTA 2,PRE.MEDICI,230,5.5,0.052,0.374,1.4,729,729,919,919
CANOAS 1,PORTO ALEGRE9,230,3.46,0.059,0.304,0.665,679,679,856,856
CAPIVARI SUL,VIAMAO 3,230,73.75,0.581,4.838,18.5,1435,1435,1765,1765
CASTERTECH,CAXIAS 6,230,4.254,0.084,0.422,0.739,916,916,1072,1072
CASTERTECH,CAXIAS SUL 2,230,1.7,0.034,0.17,0.3,917,917,1073,1073
CAXIAS,CAXIAS 6,230,19.363,0.387,1.936,3.39,916,916,1072,1072
CAXIAS,CAXIAS SUL 5,230,25,0.385,2.121,3.964,693,693,852,852
CAXIAS,FARROUPILHA,230,22.89,0.455,2.077,3.725,527,527,748,748
CAXIAS,FARROUPILHA,230,22.89,0.455,2.08,3.725,527,527,748,748
CAXIAS,N.PETROPOLIS2,230,27,0.405,2.265,3.973,917,917,1073,1073
CAXIAS NORTE,CAXIAS 6,230,24.68,0.224,1.441,7,1130,1130,1425,1425
CAXIAS NORTE,CAXIAS SUL 2,230,15.87,0.425,1.962,4,729,729,919,919
CAXIAS NORTE,CAXIAS SUL 5,230,16.09,0.316,1.478,3,0,0,0,0
CAXIAS NORTE,MONTE CLARO,230,29.12,0.37,1.825,7.7,1130,1130,1425,1425
CAXIAS NORTE,VINHEDOS,230,23.37,0.297,1.464,6.2,1130,1130,1425,1425
CERRO CHATO,LIVRAMENTO 2,230,18.5,0.239,1.214,8.5,960,960,1152,1152
CERRO CHATO,LIVRAMENTO 3,230,5.6,0.044,0.379,1.4,1380,1380,1700,1700
CHARQUEADAS3,CHARQUEADAS,230,4.53,0.015,0.105,11.7,790,790,1000,1000
CHARQUEADAS3,CHARQUEADAS,230,4.62,0.015,0.106,11.8,790,790,1000,1000
CHARQUEADAS3,GUAIBA 3,230,13.5,0.11,0.94,3.4,1600,1600,2150,2150
CRUZ ALTA 2,IJUI 2,230,43.44,0.877,4.413,8.1,826,826,964,964
ELDORADO SUL,GUAIBA 2,230,14.89,0.297,1.45,2.72,679,679,856,856
ELDORADO SUL,PORTO ALEGRE9,230,26.46,0.528,2.646,4.38,679,679,856,856
FARROUPILHA,CAXIAS NORTE,230,16.55,0.329,1.503,3.1,0,0,0,0
FARROUPILHA,CAXIAS NORTE,230,22.6,0.318,1.494,3,729,729,919,919
FARROUPILHA,MONTE CLARO,230,29,0.559,3.04,5.232,583,583,734,734
FARROUPILHA,MONTE CLARO,230,30.7,0.559,3.04,5.232,583,583,734,734
FARROUPILHA,SCHARLAU 2,230,70.77,1.67,6.2,11.5,450,450,639,639
FIBRAPLAC,OSORIO 2,230,47.47,0.821,4.165,8.059,679,679,856,856
FOZ CHAPECO,GUARITA,230,70,1.256,7.044,13.62,807,807,944,944
FOZ CHAPECO,PINHALZINHO 2,230,40,0.461,3.286,6.565,915,915,1150,1150
FOZ CHAPECO,PINHALZINHO 2,230,40,0.476,3.396,6.8,915,915,1150,1150
FOZ CHAPECO,XANXERE ESU,230,68,0.796,5.176,19.18,1299,1299,1598,1598
FOZ CHAPECO,XANXERE ESU,230,68,0.774,4.993,19.56,1299,1299,1598,1598
GARIBALDI 1,FARROUPILHA,230,22,0.423,2.115,3.59,826,826,966,966
GARIBALDI 1,LAJEADO III,230,47,0.776,4.333,8.524,770,770,970,970
GARIBALDI 1,VINHEDOS,230,12.75,0.144,1.215,2.248,790,790,1190,1190
GRAVATAI2,GRAVATAI3,230,9.7,0.26,1.298,2.358,652,652,802,802
GRAVATAI2,GRAVATAI3,230,13.24,0.246,1.222,2.343,729,729,919,919
GRAVATAI2,JBO LT GRA2,230,34.78,0.618,3.1,5.905,843,843,998,998
GRAVATAI2,PORTO ALEGRE8,230,17.2,0.328,1.542,7.212,826,826,1005,1005
GRAVATAI2,PORTOALEGRE6,230,29.2,0.539,2.686,5.34,843,843,986,986
GRAVATAI2,PORTOALEGRE6,230,29.2,0.539,2.686,5.34,527,527,748,748
GRAVATAI2,VIAMAO 3,230,20.63,0.352,1.939,3.64,843,843,986,986
GRAVATAI3,FIBRAPLAC,230,25.8,0.415,2.06,3.745,729,729,919,919
GRAVATAI3,OSORIO 3,230,66,0.507,4.313,16.7,1325,1325,1975,1975
GUAIBA 2,GUAIBA 3,230,19.23,0.122,1.158,4.6,1725,1725,2050,2050
GUAIBA 2,GUAIBA 3,230,19.23,0.122,1.158,5.6,1725,1725,2050,2050
GUARITA,SANTA ROSA 1,230,93,1.77,8.87,15.91,679,679,856,856
IJUI 2,SANTO ANGELO2,230,43.22,0.879,4.11,7.562,826,826,964,964
ITAUBA,P.PETROQUIMIC,230,196.86,3.37,18.62,33.92,729,729,919,919
ITAUBA,PASSO REAL,230,30,0.51,2.86,5.23,729,729,919,919
ITAUBA,SANTA CRUZ1,230,129.4,2.21,12.08,22.06,729,729,919,919
JARDIM BOTANICO,JBO LT GRA2,230,1.68,0.005,0.036,7.333,1000,1000,1000,1000
JARDIM BOTANICO,JBO LT PA10,230,1.68,0.005,0.036,7.333,1000,1000,1000,1000
JBO LT PA10,PORTOALEGRE10,230,5.2,0.047,0.312,0.668,843,843,998,998
L.GRANDE,CAXIAS SUL 5,230,65.62,1.319,6.412,11.11,583,583,734,734
L.VERMELHA 2,SANTA MARTA,230,95.63,1.63,9.07,17,600,600,600,600
LAJEADO 2,LAJEADO III,230,16.4,0.187,1.038,2.044,770,770,970,970
LAJEADO 2,NOVA STA RITA,230,96.2,1.914,9.55,16.74,564,564,801,801
LAJEADO 2,PASSO REAL,230,136.6,2.44,13.4,24.65,564,564,801,801
LIVRAMENTO 3,MACAMBARA 3,230,186.39,1.425,12.388,46,1380,1380,1700,1700
LIVRAMENTO 3,SANTA MARIA 3,230,247,1.705,14.733,56,1380,1380,1700,1700
LIVRAMENTO 3,SANTA MARIA 3,230,244.5,1.704,14.678,56.2,1380,1380,1700,1700
MACAMBARA,MACAMBARA 3,230,1.58,0.019,0.15,0.3,1108,1108,1108,1108
MACAMBARA,MACAMBARA 3,230,1.52,0.015,0.11,0.2,1108,1108,1319,1319
MACAMBARA,SAO BORJA2,230,53.5,1.02,5.1,9.15,679,679,856,856
MACAMBARA 3,SANTO ANGELO,230,203.2,2.221,18.068,37.5,1108,1108,1108,1108
MACAMBARA 3,SANTO ANGELO,230,199.53,2.443,18.246,36.4,1108,1108,1319,1319
MISSOES,SANTO ANGELO,230,64,1.19,6.62,12.97,853,853,998,998
MISSOES,SAO BORJA2,230,112,1.962,10.706,17.27,853,853,998,998
MONTE CLARO,NOVA PRATA 2,230,28.8,0.582,2.842,5.1,582,582,733,733
MONTE CLARO,NOVA PRATA 2,230,32.6,0.631,3.11,5.5,582,582,733,733
MONTE CLARO,VINHEDOS,230,23.75,0.267,2.249,4.163,790,790,1190,1190
N.PETROPOLIS2,TAQUARA,230,27,0.677,3.787,7.2,917,917,1073,1073
NOVA PRATA 2,VILA MARIA,230,62,1.21,5.999,10.6,582,582,733,733
NOVA PRATA 2,VILA MARIA,230,60.06,1.177,5.845,10.2,582,582,733,733
NOVA STA RITA,PORTO ALEGRE9,230,29,0.238,1.485,8.634,1180,1180,1790,1790
NOVA STA RITA,SCHARLAU 2,230,23,0.318,2.141,4.329,765,765,970,970
NOVA STA RITA,SCHARLAU 2,230,23,0.318,2.141,4.329,765,765,970,970
OSORIO 2,OSORIO 3,230,4,0.025,0.123,0.2,605,605,797,797
P.PETROQUIMIC,NOVA STA RITA,230,10.9,0.106,0.526,3.766,1355,1355,1585,1585
PASSO FUNDO,GUARITA,230,87,2.21,8.42,14.03,450,450,639,639
PASSO FUNDO,SANTA MARTA,230,96,1.83,9.15,16.41,527,527,748,748
PASSO FUNDO,VILA MARIA,230,137,2.673,13.379,23.3,582,582,733,733
PASSO FUNDO,VILA MARIA,230,137,2.684,13.529,23.1,582,582,733,733
PASSO FUNDO,XANXERE ESU,230,79.3,1.593,7.758,13.51,650,650,819,819
PASSO FUNDO,XANXERE ESU,230,79.2,1.584,7.762,13.49,650,650,819,819
PASSO REAL,CRUZ ALTA 2,230,61.37,1.136,5.716,10.5,826,826,964,964
PASSO REAL,TAPERA 2,230,59.2,1.397,5.143,10.19,450,450,639,639
PASSO REAL,V.AIRES,230,136.02,3.45,13.16,23.67,450,450,639,639
PELOTAS3,QUINTA,230,43.86,0.835,4.155,7.5,679,679,856,856
PORTO ALEGRE8,PORTO ALEGRE9,230,10.81,0.126,0.787,2.5,790,790,1190,1190
PORTOALEGRE 1,JARDIM BOTANICO,230,3.57,0.017,0.13,14.8,910,910,1205,1205
PORTOALEGRE 1,PORTO ALEGRE8,230,4.26,0.02,0.155,17.7,910,910,1205,1205
PORTOALEGRE 4,PORTO ALEGRE9,230,11,0.067,0.499,47.62,910,910,1100,1100
PORTOALEGRE10,PORTOALEGRE 4,230,3.53,0.046,0.31,0.587,843,843,1062,1062
PORTOALEGRE13,RESTINGA,230,13.84,0.193,0.985,2,590,590,895,895
PORTOALEGRE6,PORTOALEGRE 4,230,10.2,0.135,0.907,1.97,843,843,1062,1062
PORTOALEGRE6,PORTOALEGRE13,230,10.1,0.182,0.869,1.4,679,679,856,856
PORTOALEGRE6,VIAMAO 3,230,8.86,0.151,0.832,1.57,843,843,986,986
POVO NOVO,QUINTA,230,20.5,0.198,1.379,5.011,1380,1380,1740,1740
PRE.MEDICI,CAMAQUA,230,197,3.74,18.73,33.93,679,679,856,856
PRE.MEDICI,PELOTAS3,230,135,1.374,11.613,23.01,915,915,1071,1071
PRE.MEDICI,QUINTA,230,153.25,2.92,14.59,26.15,679,679,856,856
PRE.MEDICI,SANTA CRUZ1,230,237,4.256,22.015,42.17,665,665,818,818
RESTINGA,VIAMAO 3,230,19,0.303,1.562,3.2,590,590,895,895
S.VICENTE SUL,SANTA MARIA 3,230,82.41,1.492,8.216,15.2,729,729,919,919
SANTA CRUZ1,CHARQUEADAS3,230,101.36,1.507,8.747,29.9,729,729,919,919
SANTA MARIA 3,SANTO ANGELO2,230,159,1.209,10.31,40,1325,1325,1975,1975
SANTA MARIA 3,U.D.FRANCISCA,230,67.17,1.124,6.253,12.22,729,729,919,919
SANTA MARIA 3,U.D.FRANCISCA,230,63,1.143,5.812,11.26,631,631,874,874
SANTA MARTA,TAPERA 2,230,59.5,1.463,5.386,10.26,450,450,639,639
SANTO ANGELO,SANTA ROSA 1,230,50,0.898,4.91,8.553,826,826,966,966
SANTO ANGELO,SANTA ROSA 1,230,54,0.8,4.38,8.443,900,900,900,900
SANTO ANGELO,SANTO ANGELO2,230,6,0.05,0.374,1.49,1356,1356,1587,1587
SCHARLAU 2,CHARQUEADAS,230,72.96,1.7,6.3,11.3,450,450,639,639
TAQUARA,OSORIO 2,230,55,0.98,5.51,10.13,917,917,1073,1073
U.D.FRANCISCA,ITAUBA,230,21.2,0.394,2.204,3.97,729,729,919,919
U.D.FRANCISCA,ITAUBA,230,23.13,0.394,2.237,3.97,917,917,1073,1073
U.URUGUAIANA,MACAMBARA,230,130,1.26,10.27,20.87,1108,1108,1108,1108
URUGUAIANA5,U.URUGUAIANA,230,5.12,0.088,0.49,0.864,889,889,889,889
ABDON BATISTA,BARRA GRANDE,230,40.11,0.476,3.559,7.467,879,879,879,879
ABDON BATISTA,BARRA GRANDE,230,40.11,0.476,3.559,7.467,879,879,879,879
ABDON BATISTA,BARRA GRANDE,230,26,0.273,2.234,4.5,880,880,1170,1170
ABDON BATISTA,LAGES,230,89.3,1.06,8.013,16.62,879,879,879,879
ABDON BATISTA,LAGES,230,89.3,1.06,8.013,16.62,879,879,879,879
ABDON BATISTA,VIDEIRA,230,67.7,0.78,4.414,15.6,1130,1130,1425,1425
ABDON BATISTA,VIDEIRA,230,67.7,0.78,4.414,15.6,1130,1130,1425,1425
BARRA GRANDE,C.NOVOS,230,34.63,0.38,2.41,8.3,1795,1795,1795,1795
BARRA GRANDE,L.VERMELHA 2,230,58.11,0.671,5.23,10.64,953,953,953,953
BIGUACU,DESTERRO,230,57,0.771,4.977,19.601,780,780,820,820
BIGUACU,GASPAR 2,230,110.44,2.107,10.135,18.03,609,609,767,767
BIGUACU,J.LACERDA-B,230,129.5,2.574,12.581,22.26,609,609,767,767
BIGUACU,PALHOCA  ESU,230,17,0.235,1.526,3.142,824,824,1013,1013
BIGUACU,RATONES,230,28.6,0.302,1.389,79.2,1004,1004,1100,1100
BIGUACU,RATONES,230,28.6,0.302,1.389,79.2,1004,1004,1100,1100
BLUMENAU,GASPAR 2,230,14.48,0.384,1.469,2.597,609,609,767,767
BLUMENAU,GASPAR 2,230,15.14,0.304,1.469,2.597,609,609,767,767
BLUMENAU,ITAJAI,230,36,0.6,2.844,8.326,878,878,878,878
BLUMENAU,ITAJAI,230,36,0.601,2.841,8.326,878,878,878,878
BLUMENAU,JARAGUA DO SUL,230,71.5,1.166,6.225,14.1,609,609,767,767
BLUMENAU,JARAGUA DO SUL,230,71.5,1.166,6.252,14,1635,1635,2135,2135
BLUMENAU,JOINVILLE,230,67,1.27,6.56,11.3,0,0,0,0
C.NOVOS,VIDEIRA,230,68,1.406,6.469,12.18,647,647,841,841
C.NOVOS,VIDEIRA,230,68,1.406,6.469,12.18,647,647,841,841
CANOINHAS ESU,S.MATEUS SUL,230,48,0.98,4.71,8.077,650,650,819,819
CANOINHAS ESU,S.MATEUS SUL,230,48,1.049,4.78,9.1,647,647,824,824
FORQUILHINHA,L.GRANDE,230,117,2.341,11.339,19.82,583,583,734,734
FORQUILHINHA,SIDEROPOL.ESU,230,28,0.554,2.642,4.78,583,583,734,734
FORQUILHINHA,SIDEROPOLIS 2,230,27.7,0.357,2.536,5.014,860,860,1090,1090
FORQUILHINHA,SIDEROPOLIS 2,230,28,0.366,2.594,5.1,860,860,1090,1090
FORQUILHINHA,TORRES 2,230,69.53,0.775,6.265,12.8,790,790,1190,1190
GASPAR 2,INDAIAL,230,51.38,0.578,4.626,9.6,950,950,1125,1125
GASPAR 2,INDAIAL,230,51.38,0.578,4.626,9.6,950,950,1125,1125
GASPAR 2,PALHOCA  ESU,230,114.06,2.505,12.1,21.16,609,609,767,767
INDAIAL,RIO DO SUL,230,52.64,0.592,4.739,9.8,950,950,1125,1125
INDAIAL,RIO DO SUL,230,52.64,0.592,4.739,9.8,950,950,1125,1125
ITA,PINHALZINHO 2,230,105,1.268,6.881,24.7,1130,1130,1425,1425
ITA,PINHALZINHO 2,230,105,1.273,6.865,24.8,1130,1130,1425,1425
ITA,XANXERE ESU,230,55,0.668,3.618,13,1130,1130,1425,1425
ITA,XANXERE ESU,230,55,0.671,3.61,13,1130,1130,1425,1425
ITAJAI 2,ITAJAI,230,11.11,0.108,0.751,2.7,1175,1175,1480,1480
ITAJAI 2,ITAJAI,230,11.11,0.108,0.751,2.7,1175,1175,1480,1480
J.LACERDA-A,J.LACERDA-B,230,0.8,0.014,0.074,0.128,1079,960,1165,960
J.LACERDA-A,J.LACERDA-B,230,0.8,0.014,0.074,0.128,675,675,831,831
J.LACERDA-B,PALHOCA  ESU,230,120.6,2.403,11.617,20.28,609,609,767,767
J.LACERDA-B,SIDEROPOL.ESU,230,49.4,0.992,4.836,8.36,609,609,767,767
J.LACERDA-B,SIDEROPOL.ESU,230,47.3,0.935,4.556,8.004,609,609,767,767
J.LACERDA-B,TUBARAO SUL,230,21.3,0.277,1.941,3.9,755,755,950,950
JARAGUA DO SUL,JOINV.NORTE,230,48.9,0.743,4.014,10.2,1635,1635,2135,2135
JARAGUA DO SUL,JOINVILLE,230,43.6,0.612,3.51,9.3,1635,1635,2135,2135
JOINVILLE,JOINV.NORTE,230,5.3,0.102,0.525,0.906,878,878,948,948
LAGES,RIO DO SUL,230,99,1.19,8.97,18.64,879,879,879,879
LAGES,RIO DO SUL,230,99,1.19,8.97,18.64,879,879,879,879
SIDEROPOL.ESU,SIDEROPOLIS 2,230,7.5,0.046,0.409,1.5,1510,1510,1950,1950
SIDEROPOL.ESU,SIDEROPOLIS 2,230,7.5,0.045,0.409,1.5,1510,1510,1950,1950
SIDEROPOL.ESU,TUBARAO SUL,230,36.3,0.471,3.306,6.6,755,755,950,950
ITABAIANA,ITABAIANINHA,230,77,1.41,7.71,12.74,437,437,621,621
ITABAIANA,JARDIM,230,44,0.79,4.04,7.58,631,631,795,795
ITABAIANA,JARDIM,230,44,0.79,4.04,7.58,631,631,795,795
ITABAIANINHA,CATU,230,143.5,2.62,14.32,23.74,437,437,621,437
JARDIM,NSA.SRA.SOCORRO,230,1.08,0.01,0.073,0.262,1600,1600,1885,1885
JARDIM,NSA.SRA.SOCORRO,230,1.08,0.01,0.073,0.262,1600,1600,1885,1885
NSA.SRA.SOCORRO,PENEDO,230,109.5,2.077,10.31,19.104,630,630,790,790
NSA.SRA.SOCORRO,PENEDO,230,110,1.96,10.47,19.18,627,627,791,791
ANHANGUERA,CENTRO-CTT,230,6.139,0.0749,0.4362,1.42,814,814,1116,1116
ANHANGUERA,CENTRO-CTT,230,6.139,0.0749,0.4362,1.42,814,814,1116,1116
ANHANGUERA,EDGARD SOUZA,230,15.2,0.184,1.0726,3.6,814,814,1116,1116
ANHANGUERA,SCALA III,230,4.92,0.053,0.305,1,0,0,0,0
APARECIDA,GV DO BRASIL,230,18,0.1882,1.2346,4.55,1722,1200,2023,1200
APARECIDA,LORENA,230,21.6,0.222,1.442,5.352,1722,1500,2023,1500
APARECIDA,LORENA,230,21.6,0.237,1.458,5.32,1722,1500,2023,1500
APARECIDA,TAUBATE,230,41.517,0.4236,2.7777,10.24,1722,1200,2023,1200
ASSIS,LONDRINA COT,230,115.6,1.503,8.232,27.2,703,703,999,999
ASSIS,LONDRINA COT,230,117.54,2.333,11.417,20.1,594,594,749,749
ASSIS,PAR.PAULISTA2,230,41.577,0.78,3.91,7.372,865,865,1010,1010
ASSIS,PAR.PAULISTA2,230,41.577,0.78,3.91,7.372,865,865,1010,1010
AVARE NOVA,BOTUCATU,230,52.55,0.6535,3.7315,12.02,816,800,1122,800
B. SANTISTA,CARBOCLORO,230,1.5,0.0159,0.1415,0.49,1526,1526,1846,1600
B. SANTISTA,PBR CUBATAO,230,0.05,0.0301,0.2678,0.92,1526,1526,1846,1600
BOTUCATU,CAPAO BONITO,230,118.3,2.191,11.616,19.92,502,502,666,666
BOTUCATU,CERQUILHO III,230,73.4,0.9067,5.201,17.01,816,800,1122,800
CABREUVA,EDGARD SOUZA,230,32.5,0.3032,2.2023,8.01,962,962,1332,1332
CABREUVA,EDGARD SOUZA,230,32.5,0.3032,2.2023,8.01,962,962,1332,1250
CABREUVA,EDGARD SOUZA,230,32.4,0.3032,2.2023,8.09,962,962,1332,1250
CABREUVA,EDGARD SOUZA,230,32.461,0.3032,2.2023,8.09,962,962,1332,1332
CARBOCLORO,H.BORDEN SUB,230,4.7,0.0365,0.3247,1.12,1526,1526,1846,1600
CENTRO-CTT,CENTRO-CTR,230,9.75,0.037,0.398,70.78,1180,1180,1180,1180
CENTRO-CTT,CENTRO-CTR,230,9.75,0.037,0.398,70.78,1180,1180,1180,1180
CERQUILHO III,TOYOTA,230,74.3,0.9292,5.247,17.34,816,816,1122,1122
CHAVANTES,BOTUCATU,230,136.9,2.5201,13.339,22.86,502,502,666,666
CHAVANTES,BOTUCATU,230,137,1.8356,9.6929,31.37,1438,1438,1686,1686
CHAVANTES,PIRAJU,230,38,0.5173,2.9551,9.16,816,800,1122,1122
CHAVANTES,SALTO GRANDE SP,230,44.5,0.5617,3.1248,10.41,816,800,1122,1040
EDGARD SOUZA,PIRITUBA,230,20.5,0.2851,1.5085,4.93,1438,1438,1684,1500
EDGARD SOUZA,PIRITUBA,230,20.5,0.2851,1.5085,4.93,1438,1438,1684,1500
EDGARD SOUZA,SCALA III,230,12.03,0.144,0.833,2.7,0,0,0,0
EDGARD SOUZA,TOYOTA,230,66.3,0.833,4.694,15.54,816,816,1122,1122
GV DO BRASIL,TAUBATE,230,25,0.2619,1.7176,6.33,1722,1722,2023,2000
H.BORDEN SUB,MANOE.NOBREGA,230,20,0.158,1.069,4.114,1720,1720,2020,2020
H.BORDEN SUB,MANOE.NOBREGA,230,20,0.158,1.069,4.114,1720,1720,2020,2020
H.BORDEN SUB,PBR CUBATAO,230,5,0.0206,0.1832,0.63,1526,1526,1846,1600
H.BORDEN SUB,PIRATININGA,230,33,0.6109,3.324,5.45,666,666,803,803
ITAPETI,MOGI,230,5,0.0133,0.0872,0.32,1722,1200,2023,1200
ITAPETI,MOGI CRUZES,230,5.2,0.051,0.336,1.23,1722,1722,2023,2000
ITAPETI,S.JOSE CAMPOS,230,50.5,0.5101,3.3487,12.31,1722,1600,2023,1600
ITARARE II,JAGUARIAIVA,230,44,0.895,4.092,7.691,756,756,901,901
JURUMIRIM,AVARE NOVA,230,35.8,0.4428,2.5327,8.26,816,800,1122,800
JURUMIRIM,PIRAJU,230,19.7,0.2846,1.6211,4.92,816,816,1122,1122
LORENA,SANTA CABECA,230,20.8,0.2134,1.3889,5.1537,1722,1722,2023,2023
LORENA,SANTA CABECA,230,20.8,0.219,1.404,5.123,1722,1722,2023,2023
MOGI,MOGI CRUZES,230,5.699,0.0581,0.3825,1.41,1722,1200,2023,1440
